ANNOTATION,MEDIATOR,TEST,POTENTIAL_SET,TYPE,TEST_STAT,GREATER,LESS,TWO_SIDED,GREATER.ADJ,LESS.ADJ
Absolute Distance to TSS,Maximum FST,Correlation Test,1,NA,-0.03608579,0.7971318,0.2028682,0.4057364,0.9654207623978203,0.6181219867989418
Absolute Distance to TSS,Maximum FST,Correlation Test,2,NA,-0.02748947,0.69663462,0.3033654,0.6067308,0.9654207623978203,0.6458442220297952
Absolute Distance to TSS,Maximum FST,Correlation Test,3,NA,0.0755217,0.09985717,0.9001428,0.1997143,0.9654207623978203,0.9033604686327077
CTCF Binding Site,Maximum FST,Correlation Test,1,NA,0.02554216,0.2773902,0.72260984,0.5547803,0.9654207623978203,0.765209937065033
CTCF Binding Site,Maximum FST,Correlation Test,2,NA,-0.05192324,0.835348,0.16465202,0.329304,0.9654207623978203,0.6170197122507123
CTCF Binding Site,Maximum FST,Correlation Test,3,NA,-0.05191301,0.8124414,0.1875586,0.3751172,0.9654207623978203,0.6170197122507123
Enhancer,Maximum FST,Correlation Test,1,NA,-0.03947972,0.81917968,0.1808203,0.3616406,0.9654207623978203,0.6170197122507123
Enhancer,Maximum FST,Correlation Test,2,NA,0.07751904,0.07247356,0.9275264,0.1449471,0.9654207623978203,0.9291812196253346
Enhancer,Maximum FST,Correlation Test,3,NA,0.0592422,0.15568435,0.8443157,0.3113687,0.9654207623978203,0.8551257165013525
Open chromatin,Maximum FST,Correlation Test,1,NA,-0.02428931,0.7128172,0.28718275,0.5743655,0.9654207623978203,0.6437250064870259
Open chromatin,Maximum FST,Correlation Test,2,NA,0.01873406,0.3625081,0.63749189,0.72501622,0.9654207623978203,0.7283718017804154
Open chromatin,Maximum FST,Correlation Test,3,NA,-0.04955099,0.8013695,0.19863048,0.39726095,0.9654207623978203,0.6181219867989418
Promoter Flanking Region,Maximum FST,Correlation Test,1,NA,0.01972781,0.32414585,0.67585415,0.6482917,0.9654207623978203,0.737593984888241
Promoter Flanking Region,Maximum FST,Correlation Test,2,NA,-0.02679845,0.692348,0.307652,0.615304,0.9654207623978203,0.6458442220297952
Promoter Flanking Region,Maximum FST,Correlation Test,3,NA,0.02164511,0.35607724,0.64392276,0.71215448,0.9654207623978203,0.7283718017804154
Promoter,Maximum FST,Correlation Test,1,NA,-0.07751602,0.9635243,0.03647571,0.07295141,0.9721813017969452,0.6170197122507123
Promoter,Maximum FST,Correlation Test,2,NA,0.03686797,0.2443333,0.75566672,0.48866656,0.9654207623978203,0.7901431345996276
Promoter,Maximum FST,Correlation Test,3,NA,-0.07729832,0.9068697,0.09313032,0.18626064,0.9654207623978203,0.6170197122507123
TF binding site,Maximum FST,Correlation Test,1,NA,0.07767481,0.03604874,0.96395126,0.07209748,0.9654207623978203,0.9648103965953655
TF binding site,Maximum FST,Correlation Test,2,NA,-0.09482002,0.96260373,0.03739627,0.07479253,0.9721258891996404,0.6170197122507123
TF binding site,Maximum FST,Correlation Test,3,NA,0.01595121,0.39285297,0.60714703,0.78570595,0.9654207623978203,0.7192258593776372
CADD.RawScore,Maximum FST,Correlation Test,1,NA,-0.02757819,0.73816833,0.261831669,0.52366334,0.9654207623978203,0.6395747894056399
CADD.RawScore,Maximum FST,Correlation Test,2,NA,-0.00959919,0.57141313,0.428586866,0.85717373,0.9654207623978203,0.6795087869456067
CADD.RawScore,Maximum FST,Correlation Test,3,NA,0.06699225,0.12690663,0.873093369,0.25381326,0.9654207623978203,0.8789254693369175
CADD.PHRED,Maximum FST,Correlation Test,1,NA,-0.01195363,0.6088677,0.3911323,0.782264601,0.9654207623978203,0.6795087869456067
CADD.PHRED,Maximum FST,Correlation Test,2,NA,-0.01966983,0.6438662,0.356133803,0.712267605,0.9654207623978203,0.6701044270854271
CADD.PHRED,Maximum FST,Correlation Test,3,NA,0.06602234,0.13038383,0.869616171,0.260767658,0.9654207623978203,0.8766417953617595
SIFTval,Maximum FST,Correlation Test,1,NA,NA,NA,NA,NA,NA,NA
SIFTval,Maximum FST,Correlation Test,2,NA,NA,NA,NA,NA,NA,NA
SIFTval,Maximum FST,Correlation Test,3,NA,NA,NA,NA,NA,NA,NA
PolyPhenVal,Maximum FST,Correlation Test,1,NA,NA,NA,NA,NA,NA,NA
PolyPhenVal,Maximum FST,Correlation Test,2,NA,NA,NA,NA,NA,NA,NA
PolyPhenVal,Maximum FST,Correlation Test,3,NA,NA,NA,NA,NA,NA,NA
priPhyloP,Maximum FST,Correlation Test,1,NA,0.01519431,0.36292788,0.63707212,0.72585575,0.9654207623978203,0.7283718017804154
priPhyloP,Maximum FST,Correlation Test,2,NA,-0.04207013,0.78431415,0.21568585,0.43137169,0.9654207623978203,0.6210646398717949
priPhyloP,Maximum FST,Correlation Test,3,NA,-0.0434483,0.76945418,0.23054582,0.46109164,0.9654207623978203,0.6242664359232615
mamPhyloP,Maximum FST,Correlation Test,1,NA,-0.0184734,0.66506553,0.3349345,0.6698689,0.9654207623978203,0.658835118036395
