ANNOTATION,MEDIATOR,TEST,POTENTIAL_SET,TYPE,TEST_STAT,GREATER,LESS,TWO_SIDED,GREATER.ADJ,LESS.ADJ
Absolute Distance to TSS,Posterior Probability of Top SNV,Correlation Test,1,NA,-0.03393035,0.79344779,0.2065522,0.4131044,0.9998336,0.47845341209445585
Absolute Distance to TSS,Posterior Probability of Top SNV,Correlation Test,2,NA,0.04125705,0.19076499,0.809235,0.38153,0.9998336,0.8352673759191177
Absolute Distance to TSS,Posterior Probability of Top SNV,Correlation Test,3,NA,-0.02547684,0.69562004,0.30438,0.6087599,0.9998336,0.552211211631664
CTCF Binding Site,Posterior Probability of Top SNV,Correlation Test,1,NA,0.02615113,0.2616483,0.73835165,0.5232967,0.9998336,0.7972777912980769
CTCF Binding Site,Posterior Probability of Top SNV,Correlation Test,2,NA,0.03017096,0.2593077,0.74069232,0.5186154,0.9998336,0.7975047702396932
CTCF Binding Site,Posterior Probability of Top SNV,Correlation Test,3,NA,0.01880196,0.3514383,0.64856171,0.7028766,0.9998336,0.7752816478306878
Enhancer,Posterior Probability of Top SNV,Correlation Test,1,NA,0.05826345,0.07754082,0.9224592,0.15508159999999999,0.9998336,0.924930072857143
Enhancer,Posterior Probability of Top SNV,Correlation Test,2,NA,-0.03656157,0.78297684,0.2170232,0.4340463,0.9998336,0.49335435951417006
Enhancer,Posterior Probability of Top SNV,Correlation Test,3,NA,0.00376237,0.46958157,0.5304184,0.9391631,0.9998336,0.7445748289999999
Open chromatin,Posterior Probability of Top SNV,Correlation Test,1,NA,-0.06533379,0.9447598,0.05524019,0.11048037,0.9998336,0.3181268377948718
Open chromatin,Posterior Probability of Top SNV,Correlation Test,2,NA,-0.0574525,0.8906294,0.10937061,0.21874123,0.9998336,0.3886809969303797
Open chromatin,Posterior Probability of Top SNV,Correlation Test,3,NA,0.02487457,0.3068952,0.69310484000000006,0.61379033,0.9998336,0.7830550657142857
Promoter Flanking Region,Posterior Probability of Top SNV,Correlation Test,1,NA,-0.02218029,0.70585972,0.29414028,0.58828055,0.9998336,0.5394238956264273
Promoter Flanking Region,Posterior Probability of Top SNV,Correlation Test,2,NA,0.01327023,0.38838055,0.61161945,0.7767611,0.9998336,0.7696451872100657
Promoter Flanking Region,Posterior Probability of Top SNV,Correlation Test,3,NA,-0.03154929,0.7387099,0.2612901,0.5225802,0.9998336,0.517608577530648
Promoter,Posterior Probability of Top SNV,Correlation Test,1,NA,-0.003318315,0.5322427,0.46775731,0.93551463,0.9998336,0.7013237104539386
Promoter,Posterior Probability of Top SNV,Correlation Test,2,NA,-0.03900227,0.7980136,0.20198638,0.40397275,0.9998336,0.47804940498964804
Promoter,Posterior Probability of Top SNV,Correlation Test,3,NA,-0.01970283,0.6553186,0.34468136,0.68936272,0.9998336,0.595503334276923
TF binding site,Posterior Probability of Top SNV,Correlation Test,1,NA,0.02481669,0.27235975,0.72764025,0.5447195,0.9998336,0.7916729742181468
TF binding site,Posterior Probability of Top SNV,Correlation Test,2,NA,-0.03731307,0.78742075,0.21257925,0.42515849,0.9998336,0.48521645884146347
TF binding site,Posterior Probability of Top SNV,Correlation Test,3,NA,-0.01383135,0.61035625,0.38964375,0.7792875,0.9998336,0.6346233426246377
CADD.RawScore,Posterior Probability of Top SNV,Correlation Test,1,NA,0.01772855,0.33263037,0.667369625,0.66526075,0.9998336,0.7826020713995944
CADD.RawScore,Posterior Probability of Top SNV,Correlation Test,2,NA,0.02861245,0.27044919,0.72955081,0.54089838,0.9998336,0.7916729742181468
CADD.RawScore,Posterior Probability of Top SNV,Correlation Test,3,NA,-0.006689981,0.55384457,0.446155431,0.89231086,0.9998336,0.682605652606267
CADD.PHRED,Posterior Probability of Top SNV,Correlation Test,1,NA,0.009460404,0.40870938,0.591290622,0.817418756,0.9998336,0.7648166515825687
CADD.PHRED,Posterior Probability of Top SNV,Correlation Test,2,NA,0.02098937,0.32689419,0.673105805,0.653788389,0.9998336,0.7826020713995944
CADD.PHRED,Posterior Probability of Top SNV,Correlation Test,3,NA,-0.02670707,0.70558897,0.294411033,0.588822066,0.9998336,0.5394238956264273
SIFTval,Posterior Probability of Top SNV,Correlation Test,1,NA,NA,NA,NA,NA,NA,NA
SIFTval,Posterior Probability of Top SNV,Correlation Test,2,NA,NA,NA,NA,NA,NA,NA
SIFTval,Posterior Probability of Top SNV,Correlation Test,3,NA,NA,NA,NA,NA,NA,NA
PolyPhenVal,Posterior Probability of Top SNV,Correlation Test,1,NA,NA,NA,NA,NA,NA,NA
PolyPhenVal,Posterior Probability of Top SNV,Correlation Test,2,NA,NA,NA,NA,NA,NA,NA
PolyPhenVal,Posterior Probability of Top SNV,Correlation Test,3,NA,NA,NA,NA,NA,NA,NA
priPhyloP,Posterior Probability of Top SNV,Correlation Test,1,NA,0.05592078,0.08655918,0.91344082,0.17311836,0.9998336,0.9183473955774395
priPhyloP,Posterior Probability of Top SNV,Correlation Test,2,NA,0.02878736,0.26965877,0.73034123,0.53931753,0.9998336,0.7916729742181468
priPhyloP,Posterior Probability of Top SNV,Correlation Test,3,NA,0.01208866,0.40360056,0.59639944,0.80720112,0.9998336,0.7658583677828571
