ID,PC1,PC2,PC3,PC4,PC5
HG00096,0.5141979277988884,-0.26340539653160994,-1.3910560254059623,0.026035442212836733,0.01740769310563505
HG00097,0.511735204393392,-0.28883297128244995,-1.519209371573728,-0.09098193819088377,0.0026127820985805553
HG00099,0.512541701407025,-0.21130823377749564,-1.576231311571464,0.006610071428365681,0.005049512635537735
HG00100,0.5097950661527153,-0.3404315305682723,-1.5836325247095626,-0.22656859317727895,0.07299610873450406
HG00101,0.5100816737318402,-0.2595836155175511,-1.6692308999682084,-0.09477237809457884,-0.03395947813917065
HG00102,0.5138157737904528,-0.20652799916269643,-1.5830048544942712,-0.0936925875582105,0.12725324536655552
HG00103,0.512110706930034,-0.3481300439466428,-1.2814197897663056,0.06747926538229468,0.061222779955768206
HG00105,0.5046764514329294,-0.31197642853270374,-1.43639972717317,-0.013529099635659689,0.02297583228783049
HG00106,0.5180831894367187,-0.34507355779724996,-1.3031234987137261,-0.054371149764039964,0.10061898666129532
HG00108,0.5064383036347107,-0.2111128458633571,-1.5895681540013056,-0.059194817656236055,0.1234532472216774
HG00109,0.5145121078644768,-0.3557412746810651,-1.4003998130518311,0.050166267238537066,0.14371933892355201
HG00110,0.5151835881374974,-0.2339876541623486,-1.4392531433666769,-0.07440943482625675,0.08409547180161929
HG00111,0.5076958068633964,-0.20091639985274903,-1.5684594922021757,-0.036907198507126704,0.14891185692726988
HG00112,0.5112354528893425,-0.19585775129331956,-1.5276913723000691,-0.05392841330853752,0.0729004651981303
HG00114,0.5086888646067252,-0.20232144835286647,-1.476021533827401,-0.0634167691023297,0.038730711567193925
HG00115,0.5098006827389219,-0.30315262507355323,-1.2902583968185564,-0.003417946667985004,0.04750119632401884
HG00116,0.5252605354853818,-0.28960468331555256,-1.8980588930998312,0.02344204412050667,0.012025320494064183
HG00117,0.5200048371190078,-0.2175595068154541,-1.3912621865888029,0.142323789004721,0.026771173319205525
HG00118,0.5184638748614573,-0.3029457267304863,-1.468891198035966,-0.042443297751535755,0.061776084012085994
HG00119,0.5086347000072944,-0.2291339823107874,-1.5732663182593984,-0.0831197591631362,0.07161788325632455
HG00120,0.5155193356997523,-0.2746661473180011,-2.1929857116260494,-0.03966181950537357,0.023956143795673072
HG00121,0.5173156893642502,-0.1495212972405718,-1.5032633267003606,-0.1102613257780436,0.03219817574183356
HG00122,0.508418180079838,-0.29781089436924607,-1.2213367187956266,0.02569309455705101,0.03790285685654008
HG00123,0.5042940881247022,-0.25205796436245015,-1.6823141287283105,0.010783818874212424,0.0774147156789387
HG00125,0.5022995083877297,-0.21304548764971815,-1.4612486220719227,-0.05820877149550698,0.1346733339705313
HG00126,0.5085717751950275,-0.3369541359831429,-0.9188973766948638,-0.10445832875772197,0.03634168488458435
HG00127,0.5134111256507822,-0.35566083604405674,-1.1810573843001482,0.04933800837680072,0.12133184302221652
HG00128,0.5127946378980878,-0.3839014482189833,-0.9096881159139188,-0.012216443135046965,0.07238540452383735
HG00129,0.5137896293493527,-0.19859533719384287,-1.002995215955151,-0.05178204419453987,0.08932487305739863
HG00130,0.5031823872498482,-0.37941701336536643,-1.104531929880302,-0.1621820423739581,0.02163432547495405
HG00131,0.49789888982997493,-0.29217833312197755,-0.8529827701589395,-0.1050918033293091,-0.09533019269138886
HG00132,0.5119737514062325,-0.42550181816492155,-1.1073304525192778,-0.005673532930605723,-0.09200398516411691
HG00133,0.513365122252794,-0.3456016667176287,-1.0580267830274188,-0.04022903607149903,-0.04660965877949859
HG00136,0.5129977101599126,-0.2281166155675325,-1.1651004415370279,-0.011889883654616695,0.1010193245328563
HG00137,0.5162418189084618,-0.333338276661355,-1.1472246933397376,0.05916786128387089,0.03657247880689765
HG00138,0.5041187567894911,-0.2886795542243874,-0.8528061064725486,0.013589268294496167,-0.012445578536391574
HG00139,0.5103196194379451,-0.354703310607968,-0.9280118002885214,-0.16580443236035378,-0.061935843725947945
HG00141,0.5233123760508491,-0.2453794342990315,-0.9105696348471788,0.18845323258228974,0.05618159540130859
HG00142,0.5058976430061938,-0.34051166046801457,-0.7737632062895976,0.057751114695663686,0.08898327306028363
HG00143,0.50892793915019785,-0.3401454363784953,-0.6969936255706631,-0.08820071622423797,0.04021986765047096
HG00145,0.5112148284754201,-0.36680512405417803,-0.838368004145221,0.0023086090391190284,-2.468619341814822e-4
HG00146,0.5161530191927945,-0.3769313285532804,-0.8797630483787741,0.015058739490087986,0.005512682256809792
HG00148,0.5086421935089596,-0.37282868501382854,-1.1241954948815982,0.06636979509592615,0.07760705981784016
HG00149,0.5083429112423877,-0.2393884343139498,-0.8827066205463209,0.05286461421970253,0.010073566604365264
HG00150,0.5065114918351481,-0.2911761941665284,-0.9756518427962672,0.01302439790297684,-0.024946752496302356
HG00151,0.5101074472819304,-0.28719566173076305,-1.1023246475150363,-0.06407354214694698,0.11182457940769926
HG00154,0.5166343646259127,-0.35647194554688694,-0.7515618782601582,-0.0721504124192789,0.05970539277518437
HG00155,0.5179718092574513,-0.2409375548971793,-1.1222232708007438,-0.053384535763234285,0.02327226361569989
HG00157,0.5036602192989286,-0.26404612279316475,-1.1236868736123724,-0.10577042098493478,0.06252883883270807
HG00158,0.49732625026137356,-0.3171332218622874,-1.119188006712546,-0.06384268028088455,-0.01762876408015204
HG00159,0.5027659813279033,-0.3867297186115042,-0.9670493721799591,-0.059918325219120036,0.03514651628307551
