ID	ENSG00000162409.6
HG00096	0.00346988392507391
HG00097	0.00678063032251031
HG00099	5.74016807195646e-4
HG00100	0.00513277040394943
HG00101	0.00217716152464417
HG00102	0.00416985867810205
HG00103	0.00281510749331168
HG00105	0.00656016402667174
HG00106	-7.3428488302558e-4
HG00108	0.00457814142185216
HG00109	-1.39852961242904e-4
HG00110	0.00461855878142393
HG00111	0.00674583932398523
HG00112	0.0102350114420563
HG00114	0.00103579691450468
HG00115	0.00870453687145277
HG00116	0.00324389242222143
HG00117	0.00409815690981187
HG00118	0.00403079708239704
HG00119	0.01115968925496
HG00120	-0.00129985092898062
HG00121	-0.00124481216162099
HG00122	0.00899553732360583
HG00123	0.00142833675101954
HG00125	2.49445709294711e-4
HG00126	8.63017740348119e-4
HG00127	0.00710041780351645
HG00128	0.0058818680385035
HG00129	-0.0015981584791685
HG00130	0.00617020576752028
HG00131	0.00877937339098838
HG00132	0.0090964593857405
HG00133	0.0171633239433377
HG00136	0.00974171223740143
HG00137	0.00555845714471557
HG00138	0.00407326317692494
HG00139	0.0108229988016397
HG00141	0.00458552039000482
HG00142	0.00614545202344916
HG00143	0.00332197693883082
HG00145	0.00613015720637902
HG00146	0.00620370326538466
HG00148	0.00290932372997636
HG00149	0.00406353798639485
HG00150	0.00699587840565912
HG00151	9.69409750795873e-4
HG00154	0.00556216909463816
HG00155	0.00392224592158562
HG00157	0.00705906935724851
HG00158	0.00212122583567563
HG00159	0.0074515015013813
HG00160	0.00530182647478764
HG00171	0.0141143032222206
HG00173	0.00178842375202927
HG00174	0.00871256920072864
HG00176	0.00866406181252953
HG00177	0.00733326729627566
HG00178	0.00972783388759101
HG00179	0.00164216883283784
HG00180	0.00294086191425385
HG00181	8.00870762980392e-4
HG00182	0.0127086068293117
HG00183	4.1646270076286e-4
HG00185	0.00632408613830993
HG00186	0.00290236612333013
HG00187	0.0072912965447939
HG00188	-0.00184249007610149
HG00189	0.00733315625314391
HG00231	0.00426019279570249
HG00232	0.0215482430888957
HG00233	0.0051806293452904
HG00234	0.00451731616274547
HG00235	0.00736268217385662
HG00236	0.00298730995399612
HG00238	0.00705827362230903
HG00239	5.63027280764142e-4
HG00240	0.00508273277369237
HG00242	4.29890473430874e-4
HG00243	0.00118033010858647
HG00244	0.0163614172022133
HG00245	-0.00163294568985918
HG00246	0.0032316074459489
HG00250	0.0116980500031146
HG00251	0.00895091219897013
HG00252	0.00682463896344382
HG00253	0.00692797471034406
HG00255	0.00628106791175779
HG00256	0.00224336926592537
HG00257	-9.64983476348806e-4
HG00258	0.0175160229623043
HG00259	0.0069446767560039
HG00260	0.00642138842561104
HG00261	0.00704895307093841
HG00262	0.00489963470610335
HG00263	0.00405096338817252
HG00264	0.0117574932899682
HG00265	0.00340824372027749
HG00266	0.00635884625330647
HG00267	0.00557776416650792
HG00268	0.00394499641674062
HG00269	0.0148044002971839
HG00271	0.00892205415057974
HG00272	8.4248685702156e-4
HG00273	0.00166426654333955
HG00274	0.00438968785046764
HG00275	0.0170575189167458
HG00276	0.00373821209578584
HG00277	0.00130716566776224
HG00278	0.00348393672671385
HG00280	0.00728705666690485
HG00281	0.00360549924407048
HG00282	0.00655180678976583
HG00284	0.0077048483569166
HG00285	0.00255949473533534
HG00306	0.0145948428940689
HG00308	0.00738740445640972
HG00309	0.00580103259211027
HG00310	0.00556680235921941
HG00311	0.00200101239027981
HG00313	0.0142374028445307
HG00315	0.00495963731793876
HG00319	0.00530484725483429
HG00320	0.00347243341620011
HG00321	-2.24449502514634e-4
HG00323	0.00437175860588235
HG00324	0.00586244779254152
HG00325	-0.00276328062239691
HG00326	0.00311507176392721
HG00327	0.0051520700170527
HG00328	0.00915234530311846
HG00329	0.00508813491186068
HG00330	-5.87065259073571e-4
HG00331	0.0150921449290335
HG00332	0.00393779643885463
HG00334	0.00817380656192737
HG00335	0.0120427294567732
HG00336	-0.00112574389884833
HG00337	0.00298505721814687
HG00338	4.8218598959042e-4
HG00339	0.0123483083529942
HG00341	0.00485813552452951
HG00342	0.00962682620127801
HG00343	0.00877024499001273
HG00344	0.00444164085368994
HG00345	0.00184044372204368
HG00346	0.00322386322356013
HG00349	0.00579025787999299
HG00350	0.00683206515787771
HG00351	0.00616590879239679
HG00353	8.98832305361083e-4
HG00355	1.12655451612867e-4
HG00356	0.00770466110145751
HG00358	0.0032858539423573
HG00360	0.00122494086987539
HG00361	0.0106741319916592
HG00362	-8.33177571549571e-5
HG00364	-0.00128378332509031
HG00365	0.00123274304515557
HG00366	0.0026360316827039
HG00367	0.00521138490587385
HG00369	3.8749977558327e-4
HG00371	-0.00207990908897462
HG00372	0.00643280188847172
HG00373	0.0019889060926224
HG00375	0.00037930046984690103
HG00376	0.0135128428758897
HG00378	0.00190661349609584
HG00379	0.00889079039449142
HG00380	0.00372134409120564
HG00381	2.50460978825602e-4
HG00382	0.00466877215901016
HG00383	9.48914526786679e-4
HG00384	-5.63366327633296e-4
HG01334	0.0121625818585752
HG01789	0.0036541747523278
HG01790	-0.00199428271830688
HG01791	0.00376025669081956
HG02215	0.00308291661158764
NA06984	0.0295957151573006
NA06985	0.00541275589101447
NA06986	0.00112699029790986
NA06989	0.0178276307697689
