ANNOTATION,POTENTIAL_SET,TYPE,GREATER,LESS,TWO_SIDED,N,GREATER.ADJ,LESS.ADJ
Absolute Distance to TSS,1,NA,0.9990361312824022,9.641398531757683e-4,0.00192827970635153,1200,0.9999914887215252,0.2721284735588606
Absolute Distance to TSS,2,NA,0.981878031205682,0.01812345591415259,0.03624691182830519,2207,0.9888851893231178,0.9550803413552041
Absolute Distance to TSS,3,NA,0.9999914887215252,8.51223306451591e-6,1.702446612903182e-5,2688,0.9999914887215252,0.009610311129838461
CTCF Binding Site,1,NA,0.6607194829803772,0.3403028390836974,0.6806056781673948,1261,0.8831880033201392,0.9550803413552041
CTCF Binding Site,2,NA,0.34347244710264646,0.6568734280308269,0.6869448942052929,2306,0.8817125154072698,0.9550803413552041
CTCF Binding Site,3,NA,0.9375513181009048,0.06252691356861739,0.1250538271372348,2852,0.9560155288748801,0.9550803413552041
Enhancer,1,NA,0.30965166909676933,0.6915597177931124,0.6193033381935387,1261,0.8817125154072698,0.9550803413552041
Enhancer,2,NA,0.8294569950684474,0.1709024810244647,0.3418049620489294,2306,0.9086642211877379,0.9550803413552041
Enhancer,3,NA,0.9895795259713964,0.01044352309725719,0.02088704619451439,2852,0.9948666828332206,0.9550803413552041
Open chromatin,1,NA,0.39567677750409824,0.6118522474025065,0.7913535550081965,1261,0.8817125154072698,0.9550803413552041
Open chromatin,2,NA,0.127096758218367,0.8742906445401243,0.254193516436734,2306,0.8817125154072698,0.9550803413552041
Open chromatin,3,NA,0.8519629107903272,0.14895371833010362,0.29790743666020725,2852,0.9134531113791827,0.9550803413552041
Promoter Flanking Region,1,NA,0.9579529072022658,0.04212193877387819,0.08424387754775638,1261,0.9714902113901144,0.9550803413552041
Promoter Flanking Region,2,NA,0.9224132017085942,0.07762833946955182,0.15525667893910364,2306,0.9487953465095329,0.9550803413552041
Promoter Flanking Region,3,NA,0.46252914011718194,0.5375499289315765,0.925058280234364,2852,0.8817125154072698,0.9550803413552041
Promoter,1,NA,0.13491266050832315,0.8655581846619237,0.2698253210166463,1259,0.8817125154072698,0.9550803413552041
Promoter,2,NA,0.03704670742823741,0.9630159342113428,0.07409341485647483,2301,0.8817125154072698,0.9724910462653005
Promoter,3,NA,0.364602166338117,0.6356380192856247,0.729204332676234,2845,0.8817125154072698,0.9550803413552041
TF binding site,1,NA,0.7239615567415935,0.2935848428661551,0.5871696857323102,1261,0.8831880033201392,0.9550803413552041
TF binding site,2,NA,0.7738258094240158,0.23308256711036093,0.46616513422072187,2306,0.894474255616129,0.9550803413552041
TF binding site,3,NA,0.07237686433091592,0.9295260364305088,0.14475372866183184,2852,0.8817125154072698,0.9627679937286437
CADD.RawScore,1,NA,0.3381997057418278,0.6618292157258376,0.6763994114836556,1242,0.8817125154072698,0.9550803413552041
CADD.PHRED,1,NA,0.39913227262747464,0.6008982671531896,0.7982645452549493,1242,0.8817125154072698,0.9550803413552041
SIFTval,1,NA,0.3749999999999998,0.75,0.7499999999999996,3,0.8817125154072698,0.9550803413552041
PolyPhenVal,1,NA,0.75,0.3750000000000001,0.7500000000000002,3,0.8913157894736843,0.9550803413552041
priPhyloP,1,NA,0.08719099395708192,0.9128220665855518,0.17438198791416384,1239,0.8817125154072698,0.9587858888227787
mamPhyloP,1,NA,0.20692175754722847,0.7931009762879127,0.41384351509445694,1239,0.8817125154072698,0.9550803413552041
verPhyloP,1,NA,0.19784706561958168,0.8021750665639611,0.39569413123916336,1239,0.8817125154072698,0.9550803413552041
GerpN,1,NA,0.7897013606794558,0.21032150941064257,0.4206430188212851,1242,0.894474255616129,0.9550803413552041
GerpS,1,NA,0.7725756690490306,0.22744822599624975,0.4548964519924995,1242,0.894474255616129,0.9550803413552041
bStatistic,1,NA,0.558132018145915,0.4419029737880254,0.8838059475760508,1216,0.8817125154072698,0.9550803413552041
LINSIGHT,1,NA,0.05572256399265039,0.944286668548802,0.11144512798530078,1238,0.8817125154072698,0.9666808629010962
