ANNOTATION,MEDIATOR,TEST,POTENTIAL_SET,TYPE,TEST_STAT,GREATER,LESS,TWO_SIDED,GREATER.ADJ,LESS.ADJ
Absolute Distance to TSS,Posterior Probability of Top SNV,Correlation Test,1,NA,-0.04594298,0.94416064,0.05583936,0.11167872,0.9483756428571429,0.9168597498789931
Absolute Distance to TSS,Posterior Probability of Top SNV,Correlation Test,2,NA,-0.02597162,0.88869706,0.11130294,0.22260589,0.9074739303539019,0.9168597498789931
Absolute Distance to TSS,Posterior Probability of Top SNV,Correlation Test,3,NA,-0.04432623,0.98922466,0.01077534,0.02155068,0.98922466,0.9168597498789931
CTCF Binding Site,Posterior Probability of Top SNV,Correlation Test,1,NA,0.01763543,0.2657652,0.73423482,0.5315304,0.6577176070901034,0.9168597498789931
CTCF Binding Site,Posterior Probability of Top SNV,Correlation Test,2,NA,-0.006677725,0.6257052,0.37429482,0.7485896,0.749058390957447,0.9168597498789931
CTCF Binding Site,Posterior Probability of Top SNV,Correlation Test,3,NA,0.01279009,0.2473755,0.75262447,0.4947511,0.6577176070901034,0.9168597498789931
Enhancer,Posterior Probability of Top SNV,Correlation Test,1,NA,-0.03254945,0.875956597,0.1240434,0.24808681,0.9024278128434065,0.9168597498789931
Enhancer,Posterior Probability of Top SNV,Correlation Test,2,NA,-0.005739911,0.608529366,0.39147063,0.78294127,0.7425114281453362,0.9168597498789931
Enhancer,Posterior Probability of Top SNV,Correlation Test,3,NA,-8.128047e-4,0.517303918,0.48269608,0.96539216,0.7123217965116279,0.9168597498789931
Open chromatin,Posterior Probability of Top SNV,Correlation Test,1,NA,-0.01618345,0.7170672,0.28293279,0.565865581,0.7847282101167317,0.9168597498789931
Open chromatin,Posterior Probability of Top SNV,Correlation Test,2,NA,-0.007865347,0.6470995,0.352900467,0.705800934,0.7576523686264307,0.9168597498789931
Open chromatin,Posterior Probability of Top SNV,Correlation Test,3,NA,0.008255242,0.329723,0.670276994,0.659446012,0.6577176070901034,0.9168597498789931
Promoter Flanking Region,Posterior Probability of Top SNV,Correlation Test,1,NA,-0.01910584,0.75106605,0.24893395,0.4978679,0.8070193946991405,0.9168597498789931
Promoter Flanking Region,Posterior Probability of Top SNV,Correlation Test,2,NA,-0.001272545,0.52435049,0.47564951,0.951299,0.7179450410583941,0.9168597498789931
Promoter Flanking Region,Posterior Probability of Top SNV,Correlation Test,3,NA,-0.005769157,0.62094523,0.37905477,0.7581095,0.7471266136363636,0.9168597498789931
Promoter,Posterior Probability of Top SNV,Correlation Test,1,NA,-0.006467658,0.5906675,0.4093325,0.818665,0.7345642376373627,0.9168597498789931
Promoter,Posterior Probability of Top SNV,Correlation Test,2,NA,0.0133674,0.2607947,0.7392053,0.5215894,0.6577176070901034,0.9168597498789931
Promoter,Posterior Probability of Top SNV,Correlation Test,3,NA,0.01372497,0.2321505,0.7678495,0.4643011,0.6577176070901034,0.9168597498789931
TF binding site,Posterior Probability of Top SNV,Correlation Test,1,NA,0.01344875,0.31663812,0.6833619,0.6332762,0.6577176070901034,0.9168597498789931
TF binding site,Posterior Probability of Top SNV,Correlation Test,2,NA,-0.006630378,0.62484366,0.3751563,0.7503127,0.749058390957447,0.9168597498789931
TF binding site,Posterior Probability of Top SNV,Correlation Test,3,NA,-0.007824092,0.66190286,0.3380971,0.6761943,0.7598374668367347,0.9168597498789931
CADD.RawScore,Posterior Probability of Top SNV,Correlation Test,1,NA,0.006462563,0.4100071,0.5899929,0.82001412,0.6600659549356224,0.9168597498789931
CADD.RawScore,Posterior Probability of Top SNV,Correlation Test,2,NA,-0.003185021,0.5602878,0.4397122,0.87942431,0.7249401562499999,0.9168597498789931
CADD.RawScore,Posterior Probability of Top SNV,Correlation Test,3,NA,-0.01840702,0.8358334,0.1641666,0.32833326,0.8725654348330242,0.9168597498789931
CADD.PHRED,Posterior Probability of Top SNV,Correlation Test,1,NA,-0.00456212,0.5638026,0.43619742,0.87239484,0.7249401562499999,0.9168597498789931
CADD.PHRED,Posterior Probability of Top SNV,Correlation Test,2,NA,0.00590843,0.3891965,0.61080346,0.77839307,0.6577176070901034,0.9168597498789931
CADD.PHRED,Posterior Probability of Top SNV,Correlation Test,3,NA,-0.02129444,0.870939,0.12906099,0.25812198,0.8989049311926605,0.9168597498789931
SIFTval,Posterior Probability of Top SNV,Correlation Test,1,NA,0.9831397,0.05853426,0.9414657,0.1170685,0.6577176070901034,0.9602438009972801
SIFTval,Posterior Probability of Top SNV,Correlation Test,2,NA,NA,NA,NA,NA,NA,NA
SIFTval,Posterior Probability of Top SNV,Correlation Test,3,NA,NA,NA,NA,NA,NA,NA
PolyPhenVal,Posterior Probability of Top SNV,Correlation Test,1,NA,-0.6372855,0.7199428,0.2800572,0.5601144,0.7863452912621359,0.9168597498789931
PolyPhenVal,Posterior Probability of Top SNV,Correlation Test,2,NA,NA,NA,NA,NA,NA,NA
PolyPhenVal,Posterior Probability of Top SNV,Correlation Test,3,NA,NA,NA,NA,NA,NA,NA
priPhyloP,Posterior Probability of Top SNV,Correlation Test,1,NA,-0.04691288,0.95058461,0.049415391,0.09883078,0.9522775478628674,0.9168597498789931
priPhyloP,Posterior Probability of Top SNV,Correlation Test,2,NA,-0.02163068,0.8483669,0.151633097,0.30326619,0.8826953945240295,0.9168597498789931
priPhyloP,Posterior Probability of Top SNV,Correlation Test,3,NA,0.02708177,0.07535873,0.924641274,0.15071745,0.6577176070901034,0.9517121987648673
mamPhyloP,Posterior Probability of Top SNV,Correlation Test,1,NA,-0.01115497,0.6525686,0.347431352,0.694862705,0.7590195000000001,0.9168597498789931
mamPhyloP,Posterior Probability of Top SNV,Correlation Test,2,NA,-0.03114274,0.9308753,0.069124697,0.138249394,0.9383823588709677,0.9168597498789931
mamPhyloP,Posterior Probability of Top SNV,Correlation Test,3,NA,0.005727235,0.3806238,0.619376236,0.761247527,0.6577176070901034,0.9168597498789931
verPhyloP,Posterior Probability of Top SNV,Correlation Test,1,NA,0.003403041,0.4523744,0.547625556,0.90474889,0.6820475753012049,0.9168597498789931
verPhyloP,Posterior Probability of Top SNV,Correlation Test,2,NA,-0.02396668,0.8729944,0.127005565,0.25401113,0.900200458295142,0.9168597498789931
verPhyloP,Posterior Probability of Top SNV,Correlation Test,3,NA,-0.002789387,0.5588217,0.441178306,0.88235661,0.7249401562499999,0.9168597498789931
GerpN,Posterior Probability of Top SNV,Correlation Test,1,NA,0.01503448,0.2982842,0.701715785,0.59656843,0.6577176070901034,0.9168597498789931
GerpN,Posterior Probability of Top SNV,Correlation Test,2,NA,0.01116604,0.2974179,0.702582122,0.59483576,0.6577176070901034,0.9168597498789931
GerpN,Posterior Probability of Top SNV,Correlation Test,3,NA,-0.02219746,0.8807626,0.119237426,0.23847485,0.9036774065633545,0.9168597498789931
GerpS,Posterior Probability of Top SNV,Correlation Test,1,NA,-0.02372572,0.79825884,0.2017412,0.4034823,0.8440236795112782,0.9168597498789931
GerpS,Posterior Probability of Top SNV,Correlation Test,2,NA,-0.003373741,0.56383028,0.4361697,0.8723394,0.7249401562499999,0.9168597498789931
GerpS,Posterior Probability of Top SNV,Correlation Test,3,NA,-0.02076521,0.86492775,0.1350723,0.2701445,0.8935204028925618,0.9168597498789931
bStatistic,Posterior Probability of Top SNV,Correlation Test,1,NA,-0.01606859,0.7121889,0.287811137,0.575622275,0.7821998451219513,0.9168597498789931
bStatistic,Posterior Probability of Top SNV,Correlation Test,2,NA,0.01677091,0.2154991,0.78450092,0.43099816,0.6577176070901034,0.9168597498789931
bStatistic,Posterior Probability of Top SNV,Correlation Test,3,NA,-2.897925e-4,0.506074,0.493926007,0.987852013,0.7105912220149254,0.9168597498789931
LINSIGHT,Posterior Probability of Top SNV,Correlation Test,1,NA,0.0218741,0.22095863,0.7790414,0.44191725,0.6577176070901034,0.9168597498789931
LINSIGHT,Posterior Probability of Top SNV,Correlation Test,2,NA,0.003652412,0.43102364,0.5689764,0.86204728,0.6734744375,0.9168597498789931
