ANNOTATION,MEDIATOR,TEST,POTENTIAL_SET,TYPE,TEST_STAT,GREATER,LESS,TWO_SIDED,GREATER.ADJ,LESS.ADJ
Absolute Distance to TSS,Maximum AF Diff,Correlation Test,1,NA,-0.01158782,0.62350545,0.37649455,0.7529891,0.923453694219067,0.9582090544038462
Absolute Distance to TSS,Maximum AF Diff,Correlation Test,2,NA,-0.04688859,0.94911129,0.05088871,0.10177742,0.966953382352941,0.9582090544038462
Absolute Distance to TSS,Maximum AF Diff,Correlation Test,3,NA,0.01478723,0.28884387,0.71115613,0.57768774,0.923453694219067,0.9816572346625767
CTCF Binding Site,Maximum AF Diff,Correlation Test,1,NA,-0.009828455,0.6071648,0.39283521,0.7856704,0.923453694219067,0.9582090544038462
CTCF Binding Site,Maximum AF Diff,Correlation Test,2,NA,-0.03760736,0.9085621,0.0914379,0.1828758,0.9482689226135311,0.9582090544038462
CTCF Binding Site,Maximum AF Diff,Correlation Test,3,NA,0.007344174,0.3889296,0.6110704,0.7778592,0.923453694219067,0.960972216796875
Enhancer,Maximum AF Diff,Correlation Test,1,NA,-0.02581394,0.762488608,0.23751139,0.47502278,0.923453694219067,0.9582090544038462
Enhancer,Maximum AF Diff,Correlation Test,2,NA,-0.02998809,0.855873362,0.14412664,0.28825328,0.9320982887221684,0.9582090544038462
Enhancer,Maximum AF Diff,Correlation Test,3,NA,0.003496295,0.446582303,0.5534177,0.89316461,0.923453694219067,0.9582090544038462
Open chromatin,Maximum AF Diff,Correlation Test,1,NA,-0.1005782,0.9973633,0.002636698,0.005273395,0.9978691,0.9582090544038462
Open chromatin,Maximum AF Diff,Correlation Test,2,NA,0.02816865,0.1592601,0.840739893,0.318520214,0.923453694219067,0.9848551915322581
Open chromatin,Maximum AF Diff,Correlation Test,3,NA,-0.0182819,0.7587562,0.241243762,0.482487523,0.923453694219067,0.9582090544038462
Promoter Flanking Region,Maximum AF Diff,Correlation Test,1,NA,-0.00194761,0.52148696,0.47851304,0.9570261,0.923453694219067,0.9582090544038462
Promoter Flanking Region,Maximum AF Diff,Correlation Test,2,NA,-0.04030451,0.92328975,0.07671025,0.1534205,0.9564465642265194,0.9582090544038462
Promoter Flanking Region,Maximum AF Diff,Correlation Test,3,NA,-0.02578614,0.83907619,0.16092381,0.3218476,0.9263598761040235,0.9582090544038462
Promoter,Maximum AF Diff,Correlation Test,1,NA,0.001815301,0.4799976,0.5200024,0.9599952,0.923453694219067,0.9582090544038462
Promoter,Maximum AF Diff,Correlation Test,2,NA,-0.02058243,0.76658,0.23342,0.46684,0.923453694219067,0.9582090544038462
Promoter,Maximum AF Diff,Correlation Test,3,NA,-0.01575087,0.7271589,0.2728411,0.5456822,0.923453694219067,0.9582090544038462
TF binding site,Maximum AF Diff,Correlation Test,1,NA,5.365419e-4,0.49407797,0.505922,0.9881559,0.923453694219067,0.9582090544038462
TF binding site,Maximum AF Diff,Correlation Test,2,NA,0.0417983,0.06936892,0.9306311,0.1387378,0.923453694219067,0.9848551915322581
TF binding site,Maximum AF Diff,Correlation Test,3,NA,0.01154536,0.32870275,0.6712973,0.6574055,0.923453694219067,0.9656596264367815
CADD.RawScore,Maximum AF Diff,Correlation Test,1,NA,-0.02927212,0.7885947,0.2114053,0.4228106,0.923453694219067,0.9582090544038462
CADD.RawScore,Maximum AF Diff,Correlation Test,2,NA,-0.03255525,0.8726563,0.1273437,0.25468734,0.9376402671755726,0.9582090544038462
CADD.RawScore,Maximum AF Diff,Correlation Test,3,NA,-0.02462008,0.8260775,0.1739225,0.34784491,0.9236412598522169,0.9582090544038462
CADD.PHRED,Maximum AF Diff,Correlation Test,1,NA,-0.01745511,0.6836411,0.31635892,0.63271784,0.923453694219067,0.9582090544038462
CADD.PHRED,Maximum AF Diff,Correlation Test,2,NA,-0.02236295,0.7829872,0.21701278,0.43402556,0.923453694219067,0.9582090544038462
CADD.PHRED,Maximum AF Diff,Correlation Test,3,NA,-0.03148705,0.885073,0.11492697,0.22985393,0.9376732521186442,0.9582090544038462
SIFTval,Maximum AF Diff,Correlation Test,1,NA,NA,NA,NA,NA,NA,NA
