ANNOTATION,POTENTIAL_SET,TYPE,GREATER,LESS,TWO_SIDED,N,GREATER.ADJ,LESS.ADJ
Absolute Distance to TSS,1,NA,1.28479098986113e-9,0.999999998715306,2.56958197972226e-9,4294,5.85564058995828e-7,0.999999999999992
Absolute Distance to TSS,2,NA,1.55184821288647e-9,0.999999998448242,3.10369642577294e-9,5067,5.85564058995828e-7,0.999999999999992
Absolute Distance to TSS,3,NA,8.43445514542917e-15,0.999999999999992,1.68689102908583e-14,5355,9.547803224625822e-12,0.999999999999992
CTCF Binding Site,1,NA,0.822886532102619,0.177240177463546,0.354480354927091,4396,1,0.389751295123373
CTCF Binding Site,2,NA,0.221326558995688,0.778776570521712,0.442653117991376,5208,1,0.7928657137078272
CTCF Binding Site,3,NA,0.312089434320322,0.688013774125556,0.624178868640645,5512,1,0.7080287202819358
Enhancer,1,NA,0.309133514090508,0.691107964839027,0.618267028181015,4395,1,0.7105669538581096
Enhancer,2,NA,0.149583272872304,0.850514350575981,0.299166545744609,5208,1,0.8634818339479915
Enhancer,3,NA,0.403233489494911,0.596917172162207,0.806466978989822,5512,1,0.6264801947173387
Open chromatin,1,NA,0.839223095653783,0.161547429613797,0.323094859227593,4396,1,0.389751295123373
Open chromatin,2,NA,0.55386133409685,0.446943782021629,0.893887564043259,5208,1,0.5152758445379481
Open chromatin,3,NA,0.587616084935219,0.413136858454318,0.826273716908637,5512,1,0.4926651083408591
Promoter Flanking Region,1,NA,0.253314971617572,0.74672971758641,0.506629943235144,4395,1,0.7622164475273364
Promoter Flanking Region,2,NA,0.119365682736742,0.880653356180409,0.238731365473485,5207,1,0.8916812157390187
Promoter Flanking Region,3,NA,0.15862176561382,0.841399378279618,0.317243531227639,5511,1,0.8557628896788207
Promoter,1,NA,0.949189032162891,0.0508375306656269,0.101675061331254,4390,1,0.389751295123373
Promoter,2,NA,0.482749642070428,0.517342795013656,0.965499284140856,5197,1,0.5625668049524097
Promoter,3,NA,0.776788783558332,0.223282572065824,0.446565144131647,5502,1,0.4162663193917137
TF binding site,1,NA,0.605969355089543,0.3992118995484,0.798423799096801,4395,1,0.48548867972705256
TF binding site,2,NA,0.452567119874172,0.550578606473461,0.905134239748344,5207,1,0.5907630166141781
TF binding site,3,NA,0.0953089931673371,0.906141570713238,0.190617986334674,5511,1,0.9158502303994512
CADD.RawScore,1,NA,0.93490595499152,0.0650955575480813,0.130191115096163,4388,1,0.389751295123373
CADD.PHRED,1,NA,0.911046728649853,0.0889551902428777,0.177910380485755,4388,1,0.389751295123373
SIFTval,1,NA,0.687967733767415,0.363143074439402,0.726286148878805,9,1,0.4670519843744192
PolyPhenVal,1,NA,0.71484375,0.326171875,0.65234375,9,1,0.4491117523344847
priPhyloP,1,NA,0.915907807730562,0.0840941171279305,0.168188234255861,4379,1,0.389751295123373
mamPhyloP,1,NA,0.85277242658398,0.14723033230176,0.294460664603521,4379,1,0.389751295123373
verPhyloP,1,NA,0.84791386758164,0.152088951722559,0.304177903445119,4379,1,0.389751295123373
GerpN,1,NA,0.954411503236045,0.0455896475124744,0.0911792950249489,4388,1,0.389751295123373
GerpS,1,NA,0.37078063793897,0.629223885726307,0.741561275877941,4388,1,0.6522723797089557
bStatistic,1,NA,0.277515411232874,0.722489609693192,0.555030822465748,4317,1,0.7401432019662383
LINSIGHT,1,NA,0.797653019869277,0.202350494482242,0.404700988964483,4374,1,0.405219095816326
Funseq.Value,1,NA,0.282519746915643,0.751743183756538,0.565039493831287,17,1,0.7666425982093703
Aloft.Value,1,NA,NA,NA,NA,0,NA,NA
CpG,1,NA,0.554663404356547,0.44534354594496,0.890687091889921,4388,1,0.5149426905104134
GC,1,NA,0.787101893552571,0.212901675137242,0.425803350274483,4388,1,0.4079993447626594
Fathmm.XF,1,NA,0.294746864592635,0.705257276164857,0.589493729185269,4374,1,0.7231442360675888
CADD.RawScore,2,NA,0.707920822961529,0.292082351251544,0.584164702503088,5198,1,0.43051721564680706
CADD.PHRED,2,NA,0.730542936017409,0.269460116791406,0.538920233582812,5198,1,0.4252352817057569
SIFTval,2,NA,0.80859375,0.23046875,0.4609375,8,1,0.4170661788307402
PolyPhenVal,2,NA,0.176271068749856,0.864050644590176,0.352542137499713,8,1,0.8764384674516839
priPhyloP,2,NA,0.0776202612199835,0.922381139483587,0.155240522439967,5186,1,0.9306020052543856
mamPhyloP,2,NA,0.109776472199847,0.890225271152666,0.219552944399695,5186,1,0.9005674771624824
verPhyloP,2,NA,0.126534173205041,0.873467755025338,0.253068346410081,5186,1,0.885197402586108
GerpN,2,NA,0.154967095381635,0.845035118720414,0.309934190763269,5198,1,0.8586891870659863
GerpS,2,NA,0.361610837382671,0.638392638602806,0.723221674765342,5198,1,0.6605671543860845
bStatistic,2,NA,0.00181185316881748,0.99818820879449,0.00362370633763495,5131,0.3418362978502312,0.999999999999992
LINSIGHT,2,NA,0.656814905174508,0.343188624852963,0.686377249705926,5186,1,0.45650942812403533
Funseq.Value,2,NA,0.324260534133398,0.692798516394249,0.648521068266795,21,1,0.7116587300891923
Aloft.Value,2,NA,NA,NA,NA,0,NA,NA
CpG,2,NA,0.3956990697973,0.604306240489719,0.7913981395946,5198,1,0.6320851483320369
GC,2,NA,0.0511853867422848,0.94881562442557,0.10237077348457,5198,1,0.955568760542478
Fathmm.XF,2,NA,0.0790143810048315,0.920986987254393,0.158028762009663,5186,1,0.9300243261123755
CADD.RawScore,3,NA,0.418350313294146,0.581653003143629,0.836700626588292,5500,1,0.6159318985580805
CADD.PHRED,3,NA,0.221145037602507,0.778857485550445,0.442290075205014,5500,1,0.7928657137078272
SIFTval,3,NA,0.5,0.578125,1,6,1,0.6144953051643193
PolyPhenVal,3,NA,0.71875,0.34375,0.6875,6,1,0.4567194835680751
priPhyloP,3,NA,0.858043996693574,0.141957985330731,0.283915970661461,5485,1,0.389751295123373
mamPhyloP,3,NA,0.728770488123441,0.271232342925927,0.542464685851854,5485,1,0.4252352817057569
verPhyloP,3,NA,0.543951593302707,0.456051794990496,0.912103589980992,5485,1,0.5193668329268022
GerpN,3,NA,0.0394823940617415,0.960518334340109,0.078964788123483,5500,1,0.9664948928648919
GerpS,3,NA,0.402854776268215,0.597148524823329,0.805709552536431,5500,1,0.6264801947173387
bStatistic,3,NA,0.00119016167106081,0.998809875625603,0.00238032334212162,5417,0.26945260232816737,0.999999999999992
LINSIGHT,3,NA,0.696317074031979,0.303686019505495,0.60737203901099,5479,1,0.43848542612273006
Funseq.Value,3,NA,0.978672271334656,0.0257329096653942,0.0514658193307883,18,1,0.389751295123373
Aloft.Value,3,NA,1,0.5,1,1,1,0.5489815712900097
CpG,3,NA,0.0754761664041416,0.92452560087618,0.150952332808283,5500,1,0.9319349779090256
GC,3,NA,0.0215252881609541,0.978475164743704,0.0430505763219083,5500,1,0.9836890643782175
Fathmm.XF,3,NA,6.30217387852909e-9,0.999999993698142,1.26043477570582e-8,5479,1.7835152076237326e-6,0.999999999999992
FIRE Score,1,NA,0.999951295711224,4.87067006446316e-5,9.74134012892631e-5,4379,1,0.018378661709907654
FIRE Score,2,NA,0.999999999999828,1.72373136356555e-13,3.4474627271311e-13,5191,1,1.9512639035562025e-10
FIRE Score,3,NA,0.999999704390617,2.95622469872638e-7,5.91244939745277e-7,5487,1,1.673223179479131e-4
Enformer:ENCFF093VXI,1,AVE,0.911114380848198,0.0889016904125487,0.177803380825097,1198,1,0.389751295123373
Enformer:ENCFF093VXI,1,TSS,0.850775434983702,0.149247774033905,0.29849554806781,1198,1,0.389751295123373
Enformer:ENCFF093VXI,2,AVE,0.547626118789775,0.452436208184811,0.904872416369621,910,1,0.5173310986517233
Enformer:ENCFF093VXI,2,TSS,0.582976411910519,0.417085000585868,0.834170001171736,910,1,0.49490589168050586
Enformer:ENCFF093VXI,3,AVE,0.809594038856288,0.19047486419859,0.380949728397181,670,1,0.39929175235704417
Enformer:ENCFF093VXI,3,TSS,0.840998638279661,0.159062970921619,0.318125941843237,670,1,0.389751295123373
Enformer:ENCFF915DFR,1,AVE,0.900354703316525,0.0996627813766968,0.199325562753394,1198,1,0.389751295123373
Enformer:ENCFF915DFR,1,TSS,0.930528982835535,0.0694843509327078,0.138968701865416,1198,1,0.389751295123373
Enformer:ENCFF915DFR,2,AVE,0.746435928490065,0.253614451946967,0.507228903893934,910,1,0.42023271570097503
Enformer:ENCFF915DFR,2,TSS,0.736615937048733,0.263435444728682,0.526870889457364,910,1,0.4249456236360737
Enformer:ENCFF915DFR,3,AVE,0.63660329595036,0.363491871231328,0.726983742462655,670,1,0.4670519843744192
Enformer:ENCFF915DFR,3,TSS,0.754117818425555,0.245962050303298,0.491924100606595,670,1,0.4194538993343187
Enformer:ENCFF776DPQ,1,AVE,0.93891919761016,0.0610928688381338,0.122185737676268,1198,1,0.389751295123373
Enformer:ENCFF776DPQ,1,TSS,0.952055800165633,0.0479541621732968,0.0959083243465935,1198,1,0.389751295123373
Enformer:ENCFF776DPQ,2,AVE,0.757341386449689,0.242707826363844,0.485415652727687,910,1,0.4181815212235485
Enformer:ENCFF776DPQ,2,TSS,0.673994400855475,0.326062305902678,0.652124611805357,910,1,0.4491117523344847
Enformer:ENCFF776DPQ,3,AVE,0.710474352123459,0.289612379096106,0.579224758192212,670,1,0.42967393595909825
Enformer:ENCFF776DPQ,3,TSS,0.879384556333929,0.12066635493748,0.241332709874961,670,1,0.389751295123373
Enformer:ENCFF279CYY,1,AVE,0.965779004380093,0.0342285727723185,0.0684571455446371,1198,1,0.389751295123373
Enformer:ENCFF279CYY,1,TSS,0.987497893605205,0.0125053392290981,0.0250106784581962,1198,1,0.389751295123373
Enformer:ENCFF279CYY,2,AVE,0.927564973093894,0.0724567601856568,0.144913520371314,910,1,0.389751295123373
Enformer:ENCFF279CYY,2,TSS,0.837129295140967,0.16290951401381,0.325819028027619,910,1,0.389751295123373
Enformer:ENCFF279CYY,3,AVE,0.66313067923602,0.336961898844481,0.673923797688963,670,1,0.45301765972915975
Enformer:ENCFF279CYY,3,TSS,0.564072108879082,0.436028000899787,0.872056001799575,670,1,0.5083251256627794
Enformer:ENCFF340JIF,1,AVE,0.872126319106903,0.127894571197129,0.255789142394258,1198,1,0.389751295123373
Enformer:ENCFF340JIF,1,TSS,0.979343571831174,0.0206613989579141,0.0413227979158282,1198,1,0.389751295123373
Enformer:ENCFF340JIF,2,AVE,0.613128185816136,0.386932048646695,0.77386409729339,910,1,0.47869626127656695
Enformer:ENCFF340JIF,2,TSS,0.709630109294767,0.290423787349176,0.580847574698352,910,1,0.42971844846996343
Enformer:ENCFF340JIF,3,AVE,0.836732748331454,0.163329769824997,0.326659539649994,670,1,0.389751295123373
Enformer:ENCFF340JIF,3,TSS,0.917210061270932,0.0828286274544118,0.165657254908824,670,1,0.389751295123373
Enformer:ENCFF313LYI,1,AVE,0.97046404426482,0.0295426651577131,0.0590853303154261,1198,1,0.389751295123373
Enformer:ENCFF313LYI,1,TSS,0.972783872375574,0.0272224043919719,0.0544448087839439,1198,1,0.389751295123373
Enformer:ENCFF313LYI,2,AVE,0.666016817896915,0.334040441028776,0.668080882057553,910,1,0.45125511151240905
Enformer:ENCFF313LYI,2,TSS,0.67004376530685394,0.330013218350662,0.660026436701323,910,1,0.45125511151240905
Enformer:ENCFF313LYI,3,AVE,0.537975795433315,0.462124899619835,0.92424979923967,670,1,0.5215607042568826
Enformer:ENCFF313LYI,3,TSS,0.551695116807714,0.448405186894188,0.896810373788376,670,1,0.515848243459574
Enformer:ENCFF831ZHL,1,AVE,0.936063266382295,0.0639492376891809,0.127898475378362,1198,1,0.389751295123373
Enformer:ENCFF831ZHL,1,TSS,0.983303375220969,0.0167007718364953,0.0334015436729907,1198,1,0.389751295123373
Enformer:ENCFF831ZHL,2,AVE,0.706740085750526,0.293314060113557,0.586628120227113,910,1,0.43069022387533595
Enformer:ENCFF831ZHL,2,TSS,0.771239796145256,0.228807841644248,0.457615683288497,910,1,0.4170661788307402
Enformer:ENCFF831ZHL,3,AVE,0.941538310935448,0.0584914459083409,0.116982891816682,670,1,0.389751295123373
Enformer:ENCFF831ZHL,3,TSS,0.898707944582374,0.101336979202691,0.202673958405381,670,1,0.389751295123373
Enformer:ENCFF039HDL,1,AVE,0.854023786843078,0.145999082542367,0.291998165084734,1198,1,0.389751295123373
Enformer:ENCFF039HDL,1,TSS,0.838955417680787,0.161068989365126,0.322137978730252,1198,1,0.389751295123373
Enformer:ENCFF039HDL,2,AVE,0.720499337907512,0.279553586926346,0.559107173852692,910,1,0.4252352817057569
Enformer:ENCFF039HDL,2,TSS,0.722348635415554,0.277704118599513,0.555408237199026,910,1,0.4252352817057569
Enformer:ENCFF039HDL,3,AVE,0.860702212464155,0.139354185305219,0.278708370610439,670,1,0.389751295123373
Enformer:ENCFF039HDL,3,TSS,0.902189328733604,0.0978544614609936,0.195708922921987,670,1,0.389751295123373
Enformer:ENCFF028KBY,1,AVE,0.86351432084253,0.136507560478495,0.273015120956991,1198,1,0.389751295123373
Enformer:ENCFF028KBY,1,TSS,0.829251871831256,0.170773511687299,0.341547023374597,1198,1,0.389751295123373
Enformer:ENCFF028KBY,2,AVE,0.761212072444458,0.238836711626032,0.477673423252063,910,1,0.41787195913549957
Enformer:ENCFF028KBY,2,TSS,0.678545997742157,0.321510381543327,0.643020763086654,910,1,0.4472690251838325
Enformer:ENCFF028KBY,3,AVE,0.859618903350962,0.140437643378488,0.280875286756976,670,1,0.389751295123373
Enformer:ENCFF028KBY,3,TSS,0.911497745312015,0.0885429251418567,0.177085850283713,670,1,0.389751295123373
Enformer:ENCFF309OEW,1,AVE,0.989071001405196,0.0109318752619887,0.0218637505239774,1198,1,0.389751295123373
Enformer:ENCFF309OEW,1,TSS,0.990352209068425,0.00965037121143801,0.019300742422876,1198,1,0.389751295123373
Enformer:ENCFF309OEW,2,AVE,0.689098826907724,0.310956758039603,0.621913516079206,910,1,0.44086993279928344
Enformer:ENCFF309OEW,2,TSS,0.419543143885218,0.580518348400397,0.839086287770437,910,1,0.6155666531853992
Enformer:ENCFF309OEW,3,AVE,0.47462785743769,0.525473089582099,0.949255714875381,670,1,0.569897277879984
Enformer:ENCFF309OEW,3,TSS,0.318694507838241,0.681396004181618,0.637389015676482,670,1,0.7018564847439415
Enformer:ENCFF601YET,1,AVE,0.926558106767253,0.0734558080990303,0.146911616198061,1198,1,0.389751295123373
Enformer:ENCFF601YET,1,TSS,0.841987289199289,0.158036816108424,0.316073632216848,1198,1,0.389751295123373
Enformer:ENCFF601YET,2,AVE,0.685728210527846,0.314327633492473,0.628655266984946,910,1,0.4425607974048251
Enformer:ENCFF601YET,2,TSS,0.601514834008594,0.398545898017599,0.797091796035199,910,1,0.48548867972705256
Enformer:ENCFF601YET,3,AVE,0.709102470016687,0.290984682109063,0.581969364218126,670,1,0.42971844846996343
Enformer:ENCFF601YET,3,TSS,0.748776362646289,0.251304425662494,0.502608851324988,670,1,0.42023271570097503
