ANNOTATION,POTENTIAL_SET,TYPE,GREATER,LESS,TWO_SIDED,N,GREATER.ADJ,LESS.ADJ
Absolute Distance to TSS,1,NA,0.01113795873292636,0.9888658442478296,0.02227591746585273,892,0.967814322276626,0.9959103026218123
Absolute Distance to TSS,2,NA,2.8498415426798977e-7,0.9999997150804872,5.699683085359795e-7,1844,3.2231707847709643e-4,1
Absolute Distance to TSS,3,NA,0.00468416262480034,0.9953162547346168,0.00936832524960068,2340,0.967814322276626,0.9997359539119463
CTCF Binding Site,1,NA,0.11388359892654548,0.8872170655714792,0.22776719785309096,932,0.967814322276626,0.9370237376108835
CTCF Binding Site,2,NA,0.3603077974507647,0.6401419794712464,0.7206155949015294,1944,0.967814322276626,0.8732486911860154
CTCF Binding Site,3,NA,0.7529672820119806,0.24731035355260303,0.4946207071052061,2455,0.967814322276626,0.799112687122777
Enhancer,1,NA,0.7681183331164579,0.23352818841168765,0.4670563768233753,932,0.967814322276626,0.799112687122777
Enhancer,2,NA,0.9711439257761214,0.02894725975106657,0.05789451950213314,1944,0.9841969355311768,0.799112687122777
Enhancer,3,NA,0.2683425574154453,0.7319901063645087,0.5366851148308907,2455,0.967814322276626,0.8924758075255673
Open chromatin,1,NA,0.5080266122832294,0.5080266122832294,1,932,0.967814322276626,0.8370966735919491
Open chromatin,2,NA,0.17770136776449622,0.8236430035055055,0.35540273552899243,1944,0.967814322276626,0.9172780650327088
Open chromatin,3,NA,0.5523246690266133,0.4500409557094625,0.900081911418925,2455,0.967814322276626,0.8262927287457826
Promoter Flanking Region,1,NA,0.5103918034959769,0.4901550194057825,0.980310038811565,932,0.967814322276626,0.8351917230950598
Promoter Flanking Region,2,NA,0.7416315993204328,0.25848752278004616,0.5169750455600923,1944,0.967814322276626,0.799112687122777
Promoter Flanking Region,3,NA,0.49607482534849334,0.504027123820668,0.9921496506969868,2455,0.967814322276626,0.8370966735919491
Promoter,1,NA,0.382907322851655,0.6182949759004001,0.76581464570331,929,0.967814322276626,0.8691014354512301
Promoter,2,NA,0.7788981473328831,0.2214204674390756,0.4428409348781512,1941,0.967814322276626,0.799112687122777
Promoter,3,NA,0.8732624583918641,0.12690788557024404,0.2538157711404881,2446,0.967814322276626,0.799112687122777
TF binding site,1,NA,0.4138112591935737,0.6030702394020125,0.8276225183871474,932,0.967814322276626,0.8670961409482544
TF binding site,2,NA,0.4925536422461784,0.5223286998822321,0.9851072844923568,1944,0.967814322276626,0.8379938642852082
TF binding site,3,NA,0.862170293649809,0.14241013464536664,0.2848202692907333,2455,0.967814322276626,0.799112687122777
CADD.RawScore,1,NA,0.1860966695895171,0.8139367774208199,0.3721933391790342,916,0.967814322276626,0.9172780650327088
CADD.PHRED,1,NA,0.18471174680297964,0.8153215454590808,0.3694234936059593,916,0.967814322276626,0.9172780650327088
SIFTval,1,NA,1,0.12500000000000003,0.25000000000000006,3,1,0.799112687122777
PolyPhenVal,1,NA,0.12500000000000003,1,0.25000000000000006,3,0.967814322276626,1
