ANNOTATION,MEDIATOR,TEST,POTENTIAL_SET,TYPE,TEST_STAT,GREATER,LESS,TWO_SIDED,GREATER.ADJ,LESS.ADJ
Absolute Distance to TSS,Maximum AF Diff,Correlation Test,1,NA,-0.01284117,0.61060935,0.3893907,0.7787813,0.807266599514563,0.8257462335526315
Absolute Distance to TSS,Maximum AF Diff,Correlation Test,2,NA,-0.03596309,0.8557475,0.1442525,0.288505,0.8695464124548736,0.8257462335526315
Absolute Distance to TSS,Maximum AF Diff,Correlation Test,3,NA,-0.05946908,0.96682353,0.03317647,0.06635294,0.96682353,0.8257462335526315
CTCF Binding Site,Maximum AF Diff,Correlation Test,1,NA,-0.00511648,0.54529302,0.454706985,0.909413969,0.807266599514563,0.8257462335526315
CTCF Binding Site,Maximum AF Diff,Correlation Test,2,NA,0.007383521,0.41170401,0.588295991,0.823408017,0.807266599514563,0.847908089108911
CTCF Binding Site,Maximum AF Diff,Correlation Test,3,NA,0.05615918,0.03816261,0.961837387,0.076325227,0.807266599514563,0.9669946920241287
Enhancer,Maximum AF Diff,Correlation Test,1,NA,-0.05349034,0.8830429,0.11695713,0.23391426,0.8925635781671158,0.8257462335526315
Enhancer,Maximum AF Diff,Correlation Test,2,NA,0.004050678,0.4512797,0.54872031,0.90255938,0.807266599514563,0.8396094481997283
Enhancer,Maximum AF Diff,Correlation Test,3,NA,-0.03809198,0.8852588,0.11474119,0.22948237,0.8940001346499102,0.8257462335526315
Open chromatin,Maximum AF Diff,Correlation Test,1,NA,-0.0089779,0.5791224,0.42087762,0.84175523,0.807266599514563,0.8257462335526315
Open chromatin,Maximum AF Diff,Correlation Test,2,NA,0.002142651,0.4741826,0.52581742,0.94836516,0.807266599514563,0.8311558216783217
Open chromatin,Maximum AF Diff,Correlation Test,3,NA,0.001721143,0.478357,0.52164296,0.95671409,0.807266599514563,0.8311558216783217
Promoter Flanking Region,Maximum AF Diff,Correlation Test,1,NA,0.07818593,0.04081417,0.95918583,0.08162834,0.807266599514563,0.9653334693649375
Promoter Flanking Region,Maximum AF Diff,Correlation Test,2,NA,0.0291607,0.18901136,0.81098864,0.37802273,0.807266599514563,0.8645046141201513
Promoter Flanking Region,Maximum AF Diff,Correlation Test,3,NA,0.03083995,0.16532869,0.83467131,0.33065738,0.807266599514563,0.8759377087220149
Promoter,Maximum AF Diff,Correlation Test,1,NA,-0.01861228,0.6603817221,0.33961828,0.6792365557,0.807266599514563,0.8257462335526315
Promoter,Maximum AF Diff,Correlation Test,2,NA,-0.05983794,0.9647887148,0.03521129,0.0704225705,0.9656470677491101,0.8257462335526315
Promoter,Maximum AF Diff,Correlation Test,3,NA,0.03851002,0.1125540044,0.887446,0.2251080088,0.807266599514563,0.9084723760236579
