ANNOTATION,MEDIATOR,TEST,POTENTIAL_SET,TYPE,TEST_STAT,GREATER,LESS,TWO_SIDED,GREATER.ADJ,LESS.ADJ
Absolute Distance to TSS,Posterior Probability of Top SNV,Correlation Test,1,NA,-0.07874984,0.99067184,0.009328164,0.01865633,0.99999661,0.32891418519774013
Absolute Distance to TSS,Posterior Probability of Top SNV,Correlation Test,2,NA,-0.04188241,0.96391754,0.03608246,0.07216492,0.99999661,0.32891418519774013
Absolute Distance to TSS,Posterior Probability of Top SNV,Correlation Test,3,NA,-0.09288085,0.99999661,3.392784e-6,6.785568e-6,0.99999661,0.003830453136
CTCF Binding Site,Posterior Probability of Top SNV,Correlation Test,1,NA,-0.01880059,0.71675809,0.283241915,0.566483829,0.99999661,0.7680525270503598
CTCF Binding Site,Posterior Probability of Top SNV,Correlation Test,2,NA,0.005097395,0.41114321,0.588856787,0.822286425,0.8708830845966229,0.9720349964513193
CTCF Binding Site,Posterior Probability of Top SNV,Correlation Test,3,NA,-0.05802188,0.99798513,0.002014869,0.004029738,0.99999661,0.32891418519774013
Enhancer,Posterior Probability of Top SNV,Correlation Test,1,NA,0.02809693,0.1957832,0.80421677,0.39156646,0.7253102094387754,0.9720349964513193
Enhancer,Posterior Probability of Top SNV,Correlation Test,2,NA,-0.04731064,0.9815012,0.01849879,0.03699757,0.99999661,0.32891418519774013
Enhancer,Posterior Probability of Top SNV,Correlation Test,3,NA,-0.008804954,0.6686011,0.33139887,0.66279774,0.99999661,0.8250557676431719
Open chromatin,Posterior Probability of Top SNV,Correlation Test,1,NA,-0.04692224,0.9238336,0.07616642,0.15233283,0.99999661,0.4191871772815534
Open chromatin,Posterior Probability of Top SNV,Correlation Test,2,NA,0.02422624,0.142845,0.85715501,0.28568998,0.7253102094387754,0.9720349964513193
Open chromatin,Posterior Probability of Top SNV,Correlation Test,3,NA,-0.04482493,0.9868235,0.01317653,0.02635306,0.99999661,0.32891418519774013
Promoter Flanking Region,Posterior Probability of Top SNV,Correlation Test,1,NA,0.07595591,0.01019556,0.98980444,0.02039112,0.7253102094387754,0.9915609696184562
Promoter Flanking Region,Posterior Probability of Top SNV,Correlation Test,2,NA,0.01227855,0.29423888,0.70576112,0.58847776,0.7409067517777778,0.9720349964513193
Promoter Flanking Region,Posterior Probability of Top SNV,Correlation Test,3,NA,0.004913482,0.40387469,0.59612531,0.80774938,0.8603292924716981,0.9720349964513193
Promoter,Posterior Probability of Top SNV,Correlation Test,1,NA,0.03232783,0.1624921639,0.83750784,0.3249843278,0.7253102094387754,0.9720349964513193
Promoter,Posterior Probability of Top SNV,Correlation Test,2,NA,-0.01273897,0.7125668628,0.28743314,0.5748662745,0.99999661,0.7713203022325581
Promoter,Posterior Probability of Top SNV,Correlation Test,3,NA,0.02875185,0.0775786214,0.92242138,0.1551572429,0.7253102094387754,0.9720349964513193
TF binding site,Posterior Probability of Top SNV,Correlation Test,1,NA,-0.01480619,0.67416072,0.3258393,0.65167855,0.99999661,0.8250557676431719
