ANNOTATION,POTENTIAL_SET,TYPE,GREATER,LESS,TWO_SIDED,N_MATCH,N_NONMATCH,GREATER.ADJ,LESS.ADJ
Absolute Distance to TSS,1,NA,0.8995038069621265,0.1004965780186552,0.2009931560373104,12084,9590,0.9066998374178236,0.999999999910214
Absolute Distance to TSS,2,NA,0.9998438206253142,1.5618073756148404e-4,3.123614751229681e-4,7763,13895,0.9998438206253142,0.1771089563947229
Absolute Distance to TSS,3,NA,0.998909700060208,0.00109030906222176,0.00218061812444353,5487,16142,0.9997913502809144,0.618205238279738
CTCF Binding Site,1,NA,0.7519656549713583,0.248036077443051,0.496072154886102,12743,9921,0.7634100740711909,0.999999999910214
CTCF Binding Site,2,NA,0.11197727987574978,0.88802377235645,0.22395455975149955,8197,14452,0.13787430551476684,0.999999999910214
CTCF Binding Site,3,NA,0.09256750874951218,0.9074334856037112,0.18513501749902436,5807,16812,0.12066630144722934,0.999999999910214
Enhancer,1,NA,0.03037692376896077,0.9696234862679868,0.06075384753792155,12743,9919,0.05990857661565481,0.999999999910214
Enhancer,2,NA,0.42090478708806733,0.5790975637970542,0.8418095741761347,8196,14451,0.43430939814182745,0.999999999910214
Enhancer,3,NA,0.934462919234865,0.06553792584254686,0.13107585168509372,5805,16812,0.9402670367456405,0.999999999910214
Open chromatin,1,NA,0.5527740111140209,0.447230024199421,0.8944600483988419,12743,9921,0.5662563040680214,0.999999999910214
Open chromatin,2,NA,0.8742865477087467,0.1257156002801022,0.2514312005602044,8197,14452,0.882850351826998,0.999999999910214
Open chromatin,3,NA,0.862863241153957,0.137139353516051,0.274278707032102,5807,16812,0.8720917250165662,0.999999999910214
Promoter Flanking Region,1,NA,0.6130332167850023,0.3869681388649845,0.773936277729969,12742,9920,0.627418472774542,0.999999999910214
Promoter Flanking Region,2,NA,0.43642483761279505,0.5635765964170751,0.8728496752255901,8196,14451,0.4499143325935542,0.999999999910214
Promoter Flanking Region,3,NA,0.14801491735301356,0.8519860134289909,0.2960298347060271,5807,16810,0.16801693321152888,0.999999999910214
Promoter,1,NA,1.6835501499753584e-5,0.999983164814738,3.367100299950717e-5,12724,9895,5.698942895737482e-5,0.999999999910214
