ANNOTATION,MEDIATOR,TEST,POTENTIAL_SET,TYPE,TEST_STAT,GREATER,LESS,TWO_SIDED,GREATER.ADJ,LESS.ADJ
Absolute Distance to TSS,Posterior Probability of Top SNV,Correlation Test,1,NA,-0.07384416,1,2.236905e-13,4.47381e-13,1,1.2649697775e-10
Absolute Distance to TSS,Posterior Probability of Top SNV,Correlation Test,2,NA,-0.04961787,0.999999998,2.430149e-9,4.860299e-9,1,9.16166173e-7
Absolute Distance to TSS,Posterior Probability of Top SNV,Correlation Test,3,NA,-0.06211062,1,1.414331e-15,2.828661e-15,1,1.599608361e-12
CTCF Binding Site,Posterior Probability of Top SNV,Correlation Test,1,NA,0.002554234,0.3996007,0.60039931,0.79920138,0.9953239433121019,0.962585843175174
CTCF Binding Site,Posterior Probability of Top SNV,Correlation Test,2,NA,0.002235577,0.3940686,0.605931386,0.78813723,0.9953239433121019,0.962585843175174
CTCF Binding Site,Posterior Probability of Top SNV,Correlation Test,3,NA,-0.01807466,0.9904506,0.009549375,0.01909875,1,0.7200228750000001
Enhancer,Posterior Probability of Top SNV,Correlation Test,1,NA,3.899473e-4,0.48451233,0.51548767,0.96902466,0.9953239433121019,0.9620735227227722
Enhancer,Posterior Probability of Top SNV,Correlation Test,2,NA,-0.01366135,0.94972536,0.05027464,0.10054928,0.9953239433121019,0.8788138883630138
Enhancer,Posterior Probability of Top SNV,Correlation Test,3,NA,-0.01217052,0.94271544,0.05728456,0.11456912,0.9953239433121019,0.8788138883630138
Open chromatin,Posterior Probability of Top SNV,Correlation Test,1,NA,-0.006106246,0.7284517,0.27154834,0.54309668,0.9953239433121019,0.9172647862436261
Open chromatin,Posterior Probability of Top SNV,Correlation Test,2,NA,-0.004790053,0.7176237,0.2823763,0.56475259,0.9953239433121019,0.9172647862436261
Open chromatin,Posterior Probability of Top SNV,Correlation Test,3,NA,-0.01072643,0.9178475,0.08215247,0.16430493,0.9953239433121019,0.8788138883630138
Promoter Flanking Region,Posterior Probability of Top SNV,Correlation Test,1,NA,-0.0171538,0.95622031,0.04377969,0.08755939,0.9953239433121019,0.8788138883630138
Promoter Flanking Region,Posterior Probability of Top SNV,Correlation Test,2,NA,-0.01215416,0.92799331,0.07200669,0.14401339,0.9953239433121019,0.8788138883630138
Promoter Flanking Region,Posterior Probability of Top SNV,Correlation Test,3,NA,-0.008546295,0.86606779,0.13393221,0.26786442,0.9953239433121019,0.8788138883630138
Promoter,Posterior Probability of Top SNV,Correlation Test,1,NA,0.006743419,0.251201017,0.74879898,0.502402034,0.9953239433121019,0.9656689240364881
Promoter,Posterior Probability of Top SNV,Correlation Test,2,NA,0.009707411,0.121858653,0.87814135,0.243717305,0.9953239433121019,0.97516245542677
Promoter,Posterior Probability of Top SNV,Correlation Test,3,NA,0.004535558,0.278450859,0.72154914,0.556901718,0.9953239433121019,0.962585843175174
TF binding site,Posterior Probability of Top SNV,Correlation Test,1,NA,-0.002522002,0.59915408,0.40084592,0.8016918,0.9953239433121019,0.9290097039344262
TF binding site,Posterior Probability of Top SNV,Correlation Test,2,NA,0.003204336,0.35005636,0.64994364,0.7001127,0.9953239433121019,0.962585843175174
TF binding site,Posterior Probability of Top SNV,Correlation Test,3,NA,0.007946718,0.15143715,0.84856285,0.3028743,0.9953239433121019,0.97516245542677
CADD.RawScore,Posterior Probability of Top SNV,Correlation Test,1,NA,0.0080701910000000009,0.2113256,0.78867444,0.42265112,0.9953239433121019,0.9727271446455835
CADD.RawScore,Posterior Probability of Top SNV,Correlation Test,2,NA,0.00423123,0.3059659,0.69403407,0.61193186,0.9953239433121019,0.962585843175174
CADD.RawScore,Posterior Probability of Top SNV,Correlation Test,3,NA,7.14604e-4,0.4631831,0.5368169,0.92636619,0.9953239433121019,0.962585843175174
