ANNOTATION,POTENTIAL_SET,TYPE,GREATER,LESS,TWO_SIDED,N_MATCH,N_NONMATCH,GREATER.ADJ,LESS.ADJ
Absolute Distance to TSS,1,NA,0.9588592689798916,0.04114092372169181,0.08228184744338363,12084,9590,0.964814916613307,1
Absolute Distance to TSS,2,NA,0.9999990822843364,9.17725990347522e-7,1.835451980695044e-6,7763,13895,0.9999990822843364,7.980698669932878e-4
Absolute Distance to TSS,3,NA,0.9999985924865656,1.4075306296177916e-6,2.8150612592355833e-6,5487,16142,0.9999990822843364,7.980698669932878e-4
CTCF Binding Site,1,NA,0.5826117385678722,0.4173904105010901,0.8347808210021802,12743,9921,0.5946730076831386,1
CTCF Binding Site,2,NA,0.08614945331989081,0.9138514175881592,0.17229890663978162,8197,14452,0.09173096719695414,1
CTCF Binding Site,3,NA,0.0498266982988455,0.9501739231457446,0.099653396597691,5807,16812,0.055999480545977004,1
Enhancer,1,NA,0.3170411539889939,0.6829609300728905,0.6340823079779878,12743,9919,0.32713800602685994,1
Enhancer,2,NA,0.07763758789467541,0.9223633075255409,0.15527517578935082,8196,14451,0.08305757044581313,1
Enhancer,3,NA,0.8539307807477884,0.14607075355747737,0.29214150711495473,5805,16812,0.8607622269937707,1
Open chromatin,1,NA,0.11427922372813436,0.8857228145380236,0.22855844745626872,12743,9921,0.11999318491454108,1
Open chromatin,2,NA,0.8399207379479591,0.16008180753717333,0.32016361507434665,8197,14452,0.847393342378101,1
Open chromatin,3,NA,0.7680531496267528,0.23195052505108427,0.46390105010216853,5807,16812,0.7776538139970871,1
Promoter Flanking Region,1,NA,0.1860214614515621,0.8139794951907471,0.3720429229031242,12742,9920,0.19282297740957166,1
Promoter Flanking Region,2,NA,0.39168536837153983,0.608316031105838,0.7833707367430797,8196,14451,0.4030591721718023,1
Promoter Flanking Region,3,NA,0.38100362351584294,0.6189978965201711,0.7620072470316859,5807,16810,0.3924233506511952,1
Promoter,1,NA,1.3297671425535413e-7,0.9999998670263596,2.6595342851070826e-7,12724,9895,4.2121674292059103e-7,1
Promoter,2,NA,0.4581994578951503,0.5418025217238652,0.9163989157903006,8181,14423,0.4702246020390049,1
Promoter,3,NA,0.2374768985146575,0.7625248220710191,0.474953797029315,5796,16778,0.24526302633481023,1
TF binding site,1,NA,0.6604874090649694,0.33951843349175675,0.6790368669835135,12743,9920,0.6735546060069023,1
TF binding site,2,NA,0.8389422026195339,0.16106173198964374,0.3221234639792875,8197,14451,0.8473035954082949,1
TF binding site,3,NA,0.6826844060717163,0.31732166605925394,0.6346433321185079,5807,16811,0.6936954448793247,1
CADD.RawScore,1,NA,0.2284913161545014,0.7715093061562208,0.4569826323090028,12685,9899,0.2362825460290201,1
CADD.PHRED,1,NA,0.2285731507882143,0.7714274716477185,0.4571463015764286,12685,9899,0.2362825460290201,1
SIFTval,1,NA,0.9982743887512224,0.00172791359167413,0.00345582718334827,434,239,0.9999990822843364,0.6531513376528212
PolyPhenVal,1,NA,8.836257182298446e-4,0.9991176176441166,0.00176725143645968,438,240,0.0014522196586560054,1
priPhyloP,1,NA,0.04062024188521576,0.9593799379864668,0.08124048377043153,12675,9886,0.047439087845349816,1
mamPhyloP,1,NA,0.14870153844485942,0.8512989391374268,0.29740307688971884,12675,9886,0.1548462301161346,1
verPhyloP,1,NA,0.12577745814907526,0.8742229677974842,0.2515549162981505,12675,9886,0.13133668281864766,1
GerpN,1,NA,4.305553085853289e-7,0.9999995694492172,8.611106171706578e-7,12685,9899,1.3600270750299805e-6,1
GerpS,1,NA,0.08143021632043985,0.9185700936093246,0.1628604326408797,12685,9899,0.08686911129574675,1
bStatistic,1,NA,2.528068675751446e-6,0.9999974719567064,5.056137351502892e-6,12475,9747,7.875906259071813e-6,1
LINSIGHT,1,NA,0.1566956233294086,0.8433048721708616,0.3133912466588172,12646,9885,0.1628715278236016,1
Funseq.Value,1,NA,0.01588521661489955,0.9841221155340132,0.0317704332297991,736,445,0.022184526651842472,1
Aloft.Value,1,NA,0.8390846010965742,0.16405709767968493,0.32811419535936986,40,27,0.8473035954082949,1
CpG,1,NA,2.2970807576001038e-8,0.9999999770294652,4.5941615152002076e-8,12685,9899,7.296609465317976e-8,1
GC,1,NA,1.8189966654763855e-8,0.999999981810246,3.637993330952771e-8,12685,9899,5.79421971530961e-8,1
Fathmm.XF,1,NA,6.8555189628955976e-15,0.9999999999999932,1.3711037925791195e-14,12646,9885,1.8079438381217694e-13,1
CADD.RawScore,2,NA,0.6644102678148831,0.33559050710741417,0.6711810142148283,8167,14406,0.6763386388708057,1
CADD.PHRED,2,NA,0.664367263610704,0.3356335113504193,0.6712670227008386,8167,14406,0.6763386388708057,1
SIFTval,2,NA,0.6863066178681859,0.31386265294853005,0.6277253058970601,243,360,0.6967517499216855,1
PolyPhenVal,2,NA,0.11051504741133938,0.8895749414994902,0.22103009482267877,245,362,0.11614834454537429,1
priPhyloP,2,NA,0.4248464988457574,0.575154335383655,0.8496929976915149,8162,14395,0.43639124066221824,1
mamPhyloP,2,NA,0.80921295546110406,0.1907876234255525,0.381575246851105,8162,14395,0.8185972270230972,1
verPhyloP,2,NA,0.5819951937581829,0.4180056371286461,0.8360112742572922,8162,14395,0.5945788736232247,1
GerpN,2,NA,0.9829483287883988,0.01705176105981521,0.03410352211963042,8167,14406,0.9864277918991541,1
GerpS,2,NA,0.02982606040424831,0.9701740835303254,0.05965212080849663,8167,14406,0.036964756828871674,1
bStatistic,2,NA,3.897773198361528e-6,0.9999961022664025,7.795546396723056e-6,8023,14235,1.2043800563874585e-5,1
LINSIGHT,2,NA,0.46676041851970235,0.5332404288364484,0.9335208370394048,8153,14383,0.4785771379758973,1
Funseq.Value,2,NA,0.11651666049769711,0.8835233118933842,0.23303332099539423,423,681,0.12222931822792649,1
Aloft.Value,2,NA,0.4775023220896986,0.5265825718342575,0.9550046441793972,34,43,0.4891487201894474,1
CpG,2,NA,0.00170414721246973,0.9982958647198082,0.00340829442493947,8167,14406,0.0027266646208857982,1
GC,2,NA,0.00768035922013583,0.9923196857394424,0.01536071844027166,8167,14406,0.011659340502856802,1
Fathmm.XF,2,NA,1.1076355646854843e-6,0.9999988923760674,2.2152711293709686e-6,8153,14383,3.4890520287592755e-6,1
CADD.RawScore,3,NA,0.7165085847707422,0.28349220841432987,0.5669844168286597,5783,16770,0.7261132574888487,1
CADD.PHRED,3,NA,0.716306691373202,0.28369410208248375,0.5673882041649675,5783,16770,0.7261132574888487,1
SIFTval,3,NA,0.9750906571733547,0.02493907489649211,0.04987814979298422,185,416,0.9802773096051278,1
PolyPhenVal,3,NA,0.01169115766326024,0.9883244232618384,0.02338231532652048,187,417,0.01708475875017669,1
priPhyloP,3,NA,0.5133115654072494,0.4866893702952055,0.973378740590411,5780,16750,0.5248830614714345,1
mamPhyloP,3,NA,0.39790431530977854,0.6020965895846576,0.7958086306195571,5780,16750,0.4090874828298176,1
verPhyloP,3,NA,0.3808603963377178,0.6191404973253201,0.7617207926754356,5780,16750,0.3924233506511952,1
GerpN,3,NA,0.1733973147274895,0.8266032855306853,0.346794629454979,5783,16770,0.18006644221700835,1
GerpS,3,NA,0.13583031397612835,0.8641701967139356,0.2716606279522567,5783,16770,0.141703381829742,1
bStatistic,3,NA,1.501855705747472e-5,0.9999849816006532,3.003711411494944e-5,5701,16544,4.2684320058086045e-5,1
LINSIGHT,3,NA,0.6697986462711276,0.3302022052374405,0.660404410474881,5770,16733,0.6812122554900975,1
Funseq.Value,3,NA,0.05864207910739165,0.9413852091322568,0.1172841582147833,292,775,0.06431346006555332,1
Aloft.Value,3,NA,0.4914465141714019,0.5142539024108095,0.982893028342804,19,46,0.5029786525905864,1
CpG,3,NA,0.15295057086575953,0.8470499958407419,0.30590114173151906,5783,16770,0.15912472235024888,1
GC,3,NA,0.00565029220140053,0.9943497455648984,0.01130058440280107,5783,16770,0.008705749125527447,1
Fathmm.XF,3,NA,0.03476180594098239,0.9652383746357291,0.06952361188196478,5770,16733,0.04198681558787488,1
FIRE Score,1,NA,0.9970087549358368,0.00299126381608075,0.00598252763216151,12693,9906,0.9996533404926957,0.8480232918588926
FIRE Score,2,NA,0.9574663019179692,0.04253389017894233,0.08506778035788466,8182,14423,0.9642689044182746,1
FIRE Score,3,NA,0.9829125798336968,0.01708751925277417,0.03417503850554834,5792,16770,0.9864277918991541,1
Enformer:ENCFF093VXI,1,AVE,5.294724211328294e-13,0.9999999999994704,1.0589448422656588e-12,4492,2833,2.9146685707020803e-12,1
Enformer:ENCFF093VXI,1,TSS,1.624373321607055e-12,0.9999999999983756,3.24874664321411e-12,4492,2833,7.280787931630041e-12,1
Enformer:ENCFF093VXI,2,AVE,5.499044429331423e-5,0.9999450129105908,1.0998088858662846e-4,2515,3641,1.2713734733376642e-4,1
Enformer:ENCFF093VXI,2,TSS,3.005731837257806e-4,0.9996994433062204,6.011463674515613e-4,2515,3641,5.471107389165894e-4,1
Enformer:ENCFF093VXI,3,AVE,0.02381801951617862,0.97618303212806,0.04763603903235724,1655,3919,0.030657927504366123,1
Enformer:ENCFF093VXI,3,TSS,0.02796838193405967,0.9720328209653368,0.05593676386811934,1655,3919,0.03501859844036741,1
Enformer:ENCFF915DFR,1,AVE,1.1579426122005913e-11,0.9999999999884216,2.3158852244011825e-11,4492,2833,4.195229783499906e-11,1
Enformer:ENCFF915DFR,1,TSS,4.001021716776148e-11,0.9999999999599928,8.002043433552296e-11,4492,2833,1.33054505185459e-10,1
Enformer:ENCFF915DFR,2,AVE,1.6909076095229878e-4,0.9998309188794728,3.3818152190459756e-4,2515,3641,3.277759366152253e-4,1
Enformer:ENCFF915DFR,2,TSS,2.091313998731129e-4,0.9997908803588658,4.182627997462258e-4,2515,3641,3.9886943419106894e-4,1
Enformer:ENCFF915DFR,3,AVE,0.04046923617141538,0.9595323940701832,0.08093847234283076,1655,3919,0.04731145754472685,1
Enformer:ENCFF915DFR,3,TSS,0.03545893729620121,0.9645425262787448,0.07091787459240242,1655,3919,0.04259579967573324,1
Enformer:ENCFF776DPQ,1,AVE,1.4840034373261724e-13,0.9999999999998516,2.9680068746523453e-13,4492,2833,1.1728857734688788e-12,1
Enformer:ENCFF776DPQ,1,TSS,4.5342135522417273e-13,0.9999999999995466,9.068427104483455e-13,4492,2833,2.6100498315949843e-12,1
Enformer:ENCFF776DPQ,2,AVE,6.109444571942953e-6,0.9999938909721228,1.2218889143885906e-5,2515,3641,1.867415133310865e-5,1
Enformer:ENCFF776DPQ,2,TSS,8.120553668085898e-5,0.9999187993071508,1.6241107336171796e-4,2515,3641,1.7573869961086657e-4,1
Enformer:ENCFF776DPQ,3,AVE,0.00651570828284707,0.9934846345067608,0.01303141656569415,1655,3919,0.009957969262464391,1
Enformer:ENCFF776DPQ,3,TSS,0.00388760483808665,0.9961126115833496,0.0077752096761733,1655,3919,0.00611448527932075,1
Enformer:ENCFF279CYY,1,AVE,3.390744665290729e-13,0.9999999999996608,6.781489330581457e-13,4492,2833,2.1011499729178618e-12,1
