ANNOTATION,MEDIATOR,TEST,POTENTIAL_SET,TYPE,TEST_STAT,GREATER,LESS,TWO_SIDED,GREATER.ADJ,LESS.ADJ
Absolute Distance to TSS,Maximum AF Diff,Correlation Test,1,NA,-0.003832765,0.625731931,0.3742681,0.7485361,0.9998962,0.6984308796980583
Absolute Distance to TSS,Maximum AF Diff,Correlation Test,2,NA,-0.03190116,0.998525296,0.001474704,0.002949408,0.9998962,0.3335780448
Absolute Distance to TSS,Maximum AF Diff,Correlation Test,3,NA,-0.02226851,0.983446353,0.01655365,0.03310729,0.9998962,0.4020123377234042
CTCF Binding Site,Maximum AF Diff,Correlation Test,1,NA,0.01060094,0.1850069,0.814993062,0.37001388,0.9998962,0.8923108936321393
CTCF Binding Site,Maximum AF Diff,Correlation Test,2,NA,-0.009356057,0.8111916,0.188808385,0.37761677,0.9998962,0.5949007789155125
CTCF Binding Site,Maximum AF Diff,Correlation Test,3,NA,0.009408679,0.181151,0.818848964,0.36230207,0.9998962,0.8939364655250965
Enhancer,Maximum AF Diff,Correlation Test,1,NA,3.015539e-4,0.48982966,0.51017034000000006,0.97965932,0.9998962,0.7720114644192255
Enhancer,Maximum AF Diff,Correlation Test,2,NA,-0.005137326,0.68595823,0.31404177,0.62808354,0.9998962,0.6650613180783583
Enhancer,Maximum AF Diff,Correlation Test,3,NA,-0.01356759,0.90552667,0.09447333,0.18894667,0.9998962,0.5295031957323943
Open chromatin,Maximum AF Diff,Correlation Test,1,NA,-0.01698413,0.9245404,0.07545957,0.15091914,0.9998962,0.5010258953204421
Open chromatin,Maximum AF Diff,Correlation Test,2,NA,-0.01536341,0.926311,0.07368897,0.14737794,0.9998962,0.5010258953204421
Open chromatin,Maximum AF Diff,Correlation Test,3,NA,0.003189226,0.3787414,0.62125861,0.75748279,0.9998962,0.8203740306409091
Promoter Flanking Region,Maximum AF Diff,Correlation Test,1,NA,0.02664431,0.01212005,0.98787995,0.0242401,0.9998962,0.98787995
Promoter Flanking Region,Maximum AF Diff,Correlation Test,2,NA,-5.87527e-4,0.52209039,0.47790961,0.95581923,0.9998962,0.7570248864285714
Promoter Flanking Region,Maximum AF Diff,Correlation Test,3,NA,-0.01458607,0.92105107,0.07894893,0.15789786,0.9998962,0.5010258953204421
Promoter,Maximum AF Diff,Correlation Test,1,NA,-0.02241803,0.970882944,0.02911706,0.058234111,0.9998962,0.41115720387209304
